Method,n_star_ratio,MAE,time_s
MIDAST[KS],0.9,0,3.1621408462524414
Neural-ECF[argmax],0.9,75,1.0147168636322021
Neural-ECF[peaks],0.9,75,1.0147168636322021
MIDAST[KS],0.9,0,3.1565821170806885
Neural-ECF[argmax],0.9,75,1.0250129699707031
Neural-ECF[peaks],0.9,75,1.0250129699707031
MIDAST[KS],0.9,0,3.2417261600494385
Neural-ECF[argmax],0.9,75,1.0250029563903809
Neural-ECF[peaks],0.9,75,1.0250029563903809
MIDAST[KS],0.9,0,3.2995352745056152
Neural-ECF[argmax],0.9,75,0.9982976913452148
Neural-ECF[peaks],0.9,75,0.9982976913452148
MIDAST[KS],0.9,0,3.268289089202881
Neural-ECF[argmax],0.9,75,0.9952611923217773
Neural-ECF[peaks],0.9,535,0.9952611923217773
MIDAST[KS],0.9,0,3.1722350120544434
Neural-ECF[argmax],0.9,75,1.0337648391723633
Neural-ECF[peaks],0.9,75,1.0337648391723633
MIDAST[KS],0.9,0,3.2187793254852295
Neural-ECF[argmax],0.9,75,1.0253548622131348
Neural-ECF[peaks],0.9,75,1.0253548622131348
MIDAST[KS],0.9,0,3.2259371280670166
Neural-ECF[argmax],0.9,75,0.9815878868103027
Neural-ECF[peaks],0.9,75,0.9815878868103027
MIDAST[KS],0.9,0,3.1295158863067627
Neural-ECF[argmax],0.9,75,0.9931299686431885
Neural-ECF[peaks],0.9,75,0.9931299686431885
MIDAST[KS],0.9,0,3.162018060684204
Neural-ECF[argmax],0.9,75,1.0095500946044922
Neural-ECF[peaks],0.9,75,1.0095500946044922
MIDAST[KS],0.9,0,3.196518898010254
Neural-ECF[argmax],0.9,75,1.0002250671386719
Neural-ECF[peaks],0.9,75,1.0002250671386719
MIDAST[KS],0.9,0,3.2818350791931152
Neural-ECF[argmax],0.9,75,1.0090141296386719
Neural-ECF[peaks],0.9,75,1.0090141296386719
MIDAST[KS],0.9,0,3.139176845550537
Neural-ECF[argmax],0.9,75,0.9919769763946533
Neural-ECF[peaks],0.9,75,0.9919769763946533
MIDAST[KS],0.9,0,3.133457899093628
Neural-ECF[argmax],0.9,75,0.9953489303588867
Neural-ECF[peaks],0.9,700,0.9953489303588867
MIDAST[KS],0.9,0,3.2229108810424805
Neural-ECF[argmax],0.9,75,0.9928832054138184
Neural-ECF[peaks],0.9,75,0.9928832054138184
MIDAST[KS],0.9,0,3.224432945251465
Neural-ECF[argmax],0.9,75,1.0038259029388428
Neural-ECF[peaks],0.9,75,1.0038259029388428
MIDAST[KS],0.9,0,3.1950247287750244
Neural-ECF[argmax],0.9,75,1.0335791110992432
Neural-ECF[peaks],0.9,75,1.0335791110992432
MIDAST[KS],0.9,0,3.2230260372161865
Neural-ECF[argmax],0.9,75,1.0296571254730225
Neural-ECF[peaks],0.9,75,1.0296571254730225
MIDAST[KS],0.9,0,3.228127956390381
Neural-ECF[argmax],0.9,75,0.989551305770874
Neural-ECF[peaks],0.9,75,0.989551305770874
MIDAST[KS],0.9,0,3.1633007526397705
Neural-ECF[argmax],0.9,75,0.9642329216003418
Neural-ECF[peaks],0.9,75,0.9642329216003418
MIDAST[KS],0.9,0,3.1730620861053467
Neural-ECF[argmax],0.9,75,0.9955482482910156
Neural-ECF[peaks],0.9,75,0.9955482482910156
MIDAST[KS],0.9,0,3.2025187015533447
Neural-ECF[argmax],0.9,75,0.9893589019775391
Neural-ECF[peaks],0.9,75,0.9893589019775391
MIDAST[KS],0.9,0,3.1342790126800537
Neural-ECF[argmax],0.9,75,1.0226519107818604
Neural-ECF[peaks],0.9,75,1.0226519107818604
MIDAST[KS],0.9,0,3.2218141555786133
Neural-ECF[argmax],0.9,75,0.9911212921142578
Neural-ECF[peaks],0.9,75,0.9911212921142578
MIDAST[KS],0.9,0,3.104203939437866
Neural-ECF[argmax],0.9,75,0.9591479301452637
Neural-ECF[peaks],0.9,75,0.9591479301452637
MIDAST[KS],0.9,0,3.2556838989257812
Neural-ECF[argmax],0.9,75,1.0705811977386475
Neural-ECF[peaks],0.9,75,1.0705811977386475
MIDAST[KS],0.9,0,3.326629877090454
Neural-ECF[argmax],0.9,75,1.0274391174316406
Neural-ECF[peaks],0.9,75,1.0274391174316406
MIDAST[KS],0.9,0,3.159472942352295
Neural-ECF[argmax],0.9,75,0.9773361682891846
Neural-ECF[peaks],0.9,600,0.9773361682891846
MIDAST[KS],0.9,0,3.173778772354126
Neural-ECF[argmax],0.9,75,1.001734733581543
Neural-ECF[peaks],0.9,75,1.001734733581543
MIDAST[KS],0.9,0,3.2791340351104736
Neural-ECF[argmax],0.9,75,1.00101900100708
Neural-ECF[peaks],0.9,75,1.00101900100708
MIDAST[KS],0.9,0,3.113140106201172
Neural-ECF[argmax],0.9,75,0.980806827545166
Neural-ECF[peaks],0.9,75,0.980806827545166
MIDAST[KS],0.9,0,3.157148838043213
Neural-ECF[argmax],0.9,75,0.997014045715332
Neural-ECF[peaks],0.9,75,0.997014045715332
MIDAST[KS],0.9,0,3.1544010639190674
Neural-ECF[argmax],0.9,75,0.997711181640625
Neural-ECF[peaks],0.9,75,0.997711181640625
MIDAST[KS],0.9,0,3.2089807987213135
Neural-ECF[argmax],0.9,75,0.9719269275665283
Neural-ECF[peaks],0.9,75,0.9719269275665283
MIDAST[KS],0.9,0,3.1837270259857178
Neural-ECF[argmax],0.9,75,1.004028081893921
Neural-ECF[peaks],0.9,75,1.004028081893921
MIDAST[KS],0.9,0,3.149718999862671
Neural-ECF[argmax],0.9,75,1.014908790588379
Neural-ECF[peaks],0.9,75,1.014908790588379
MIDAST[KS],0.9,0,3.211252212524414
Neural-ECF[argmax],0.9,75,0.9853909015655518
Neural-ECF[peaks],0.9,75,0.9853909015655518
MIDAST[KS],0.9,0,3.1920831203460693
Neural-ECF[argmax],0.9,75,0.9718248844146729
Neural-ECF[peaks],0.9,75,0.9718248844146729
MIDAST[KS],0.9,0,3.1669440269470215
Neural-ECF[argmax],0.9,75,1.0320520401000977
Neural-ECF[peaks],0.9,75,1.0320520401000977
MIDAST[KS],0.9,0,3.173941135406494
Neural-ECF[argmax],0.9,75,1.000277042388916
Neural-ECF[peaks],0.9,75,1.000277042388916
MIDAST[KS],0.9,0,3.1863322257995605
Neural-ECF[argmax],0.9,75,0.9850077629089355
Neural-ECF[peaks],0.9,75,0.9850077629089355
MIDAST[KS],0.9,0,3.205641031265259
Neural-ECF[argmax],0.9,75,1.0159730911254883
Neural-ECF[peaks],0.9,75,1.0159730911254883
MIDAST[KS],0.9,0,3.157939910888672
Neural-ECF[argmax],0.9,75,0.9808471202850342
Neural-ECF[peaks],0.9,75,0.9808471202850342
MIDAST[KS],0.9,0,3.1803269386291504
Neural-ECF[argmax],0.9,75,1.0034971237182617
Neural-ECF[peaks],0.9,75,1.0034971237182617
MIDAST[KS],0.9,0,3.2138071060180664
Neural-ECF[argmax],0.9,75,1.0040531158447266
Neural-ECF[peaks],0.9,75,1.0040531158447266
MIDAST[KS],0.9,0,3.2086148262023926
Neural-ECF[argmax],0.9,75,1.012359857559204
Neural-ECF[peaks],0.9,75,1.012359857559204
MIDAST[KS],0.9,0,3.2172579765319824
Neural-ECF[argmax],0.9,75,0.987250804901123
Neural-ECF[peaks],0.9,75,0.987250804901123
MIDAST[KS],0.9,0,3.171668767929077
Neural-ECF[argmax],0.9,75,0.997096061706543
Neural-ECF[peaks],0.9,75,0.997096061706543
MIDAST[KS],0.9,0,3.2327072620391846
Neural-ECF[argmax],0.9,75,0.991706132888794
Neural-ECF[peaks],0.9,75,0.991706132888794
MIDAST[KS],0.9,0,3.2204389572143555
Neural-ECF[argmax],0.9,75,0.992689847946167
Neural-ECF[peaks],0.9,75,0.992689847946167
MIDAST[KS],0.9,0,3.182249069213867
Neural-ECF[argmax],0.9,75,1.026993751525879
Neural-ECF[peaks],0.9,75,1.026993751525879
MIDAST[KS],0.9,0,3.177011013031006
Neural-ECF[argmax],0.9,75,1.0053508281707764
Neural-ECF[peaks],0.9,75,1.0053508281707764
MIDAST[KS],0.9,0,3.170419931411743
Neural-ECF[argmax],0.9,75,1.0001351833343506
Neural-ECF[peaks],0.9,75,1.0001351833343506
MIDAST[KS],0.9,0,3.214945077896118
Neural-ECF[argmax],0.9,75,1.0171489715576172
Neural-ECF[peaks],0.9,75,1.0171489715576172
MIDAST[KS],0.9,0,3.2209579944610596
Neural-ECF[argmax],0.9,75,1.0300238132476807
Neural-ECF[peaks],0.9,75,1.0300238132476807
MIDAST[KS],0.9,0,3.260812759399414
Neural-ECF[argmax],0.9,75,0.9784760475158691
Neural-ECF[peaks],0.9,75,0.9784760475158691
MIDAST[KS],0.9,0,3.1730082035064697
Neural-ECF[argmax],0.9,75,0.9965860843658447
Neural-ECF[peaks],0.9,75,0.9965860843658447
MIDAST[KS],0.9,0,3.2131669521331787
Neural-ECF[argmax],0.9,75,0.972938060760498
Neural-ECF[peaks],0.9,75,0.972938060760498
MIDAST[KS],0.9,0,3.122540235519409
Neural-ECF[argmax],0.9,75,0.9959919452667236
Neural-ECF[peaks],0.9,75,0.9959919452667236
MIDAST[KS],0.9,0,3.172081708908081
Neural-ECF[argmax],0.9,75,1.0028250217437744
Neural-ECF[peaks],0.9,75,1.0028250217437744
MIDAST[KS],0.9,0,3.1945178508758545
Neural-ECF[argmax],0.9,75,1.002837896347046
Neural-ECF[peaks],0.9,75,1.002837896347046
MIDAST[KS],0.9,0,3.243638038635254
Neural-ECF[argmax],0.9,75,1.0122628211975098
Neural-ECF[peaks],0.9,75,1.0122628211975098
MIDAST[KS],0.9,0,3.1468420028686523
Neural-ECF[argmax],0.9,75,1.004044771194458
Neural-ECF[peaks],0.9,300,1.004044771194458
MIDAST[KS],0.9,0,3.1803901195526123
Neural-ECF[argmax],0.9,75,0.9925470352172852
Neural-ECF[peaks],0.9,75,0.9925470352172852
MIDAST[KS],0.9,0,3.1104660034179688
Neural-ECF[argmax],0.9,75,0.9860930442810059
Neural-ECF[peaks],0.9,75,0.9860930442810059
MIDAST[KS],0.9,0,3.153843879699707
Neural-ECF[argmax],0.9,75,0.96744704246521
Neural-ECF[peaks],0.9,75,0.96744704246521
MIDAST[KS],0.9,0,3.172401189804077
Neural-ECF[argmax],0.9,75,0.9660327434539795
Neural-ECF[peaks],0.9,75,0.9660327434539795
MIDAST[KS],0.9,10,3.1553690433502197
Neural-ECF[argmax],0.9,75,0.9888670444488525
Neural-ECF[peaks],0.9,75,0.9888670444488525
MIDAST[KS],0.9,0,3.160601854324341
Neural-ECF[argmax],0.9,75,1.066641092300415
Neural-ECF[peaks],0.9,75,1.066641092300415
MIDAST[KS],0.9,0,3.237595796585083
Neural-ECF[argmax],0.9,75,0.9951858520507812
Neural-ECF[peaks],0.9,75,0.9951858520507812
MIDAST[KS],0.9,0,3.174006938934326
Neural-ECF[argmax],0.9,75,1.0107908248901367
Neural-ECF[peaks],0.9,75,1.0107908248901367
MIDAST[KS],0.9,0,3.221195936203003
Neural-ECF[argmax],0.9,75,1.0124518871307373
Neural-ECF[peaks],0.9,75,1.0124518871307373
MIDAST[KS],0.9,0,3.199126958847046
Neural-ECF[argmax],0.9,75,1.007680892944336
Neural-ECF[peaks],0.9,285,1.007680892944336
MIDAST[KS],0.9,0,3.147118091583252
Neural-ECF[argmax],0.9,75,0.9949331283569336
Neural-ECF[peaks],0.9,75,0.9949331283569336
MIDAST[KS],0.9,0,3.200860023498535
Neural-ECF[argmax],0.9,75,0.9786841869354248
Neural-ECF[peaks],0.9,75,0.9786841869354248
MIDAST[KS],0.9,0,3.25403094291687
Neural-ECF[argmax],0.9,75,1.0177431106567383
Neural-ECF[peaks],0.9,75,1.0177431106567383
MIDAST[KS],0.9,0,3.18955397605896
Neural-ECF[argmax],0.9,75,1.0240869522094727
Neural-ECF[peaks],0.9,75,1.0240869522094727
MIDAST[KS],0.9,0,3.291440725326538
Neural-ECF[argmax],0.9,75,1.0401878356933594
Neural-ECF[peaks],0.9,75,1.0401878356933594
MIDAST[KS],0.9,0,3.2874929904937744
Neural-ECF[argmax],0.9,75,0.9867048263549805
Neural-ECF[peaks],0.9,75,0.9867048263549805
MIDAST[KS],0.9,0,3.3859200477600098
Neural-ECF[argmax],0.9,75,1.0196819305419922
Neural-ECF[peaks],0.9,75,1.0196819305419922
MIDAST[KS],0.9,0,3.211029052734375
Neural-ECF[argmax],0.9,75,1.0120849609375
Neural-ECF[peaks],0.9,75,1.0120849609375
MIDAST[KS],0.9,0,3.177126884460449
Neural-ECF[argmax],0.9,75,1.0095806121826172
Neural-ECF[peaks],0.9,75,1.0095806121826172
MIDAST[KS],0.9,0,3.224900960922241
Neural-ECF[argmax],0.9,75,0.9750349521636963
Neural-ECF[peaks],0.9,75,0.9750349521636963
MIDAST[KS],0.9,0,3.2277770042419434
Neural-ECF[argmax],0.9,75,1.0183827877044678
Neural-ECF[peaks],0.9,75,1.0183827877044678
MIDAST[KS],0.9,0,3.1582589149475098
Neural-ECF[argmax],0.9,75,1.0022029876708984
Neural-ECF[peaks],0.9,75,1.0022029876708984
MIDAST[KS],0.9,0,3.1720800399780273
Neural-ECF[argmax],0.9,75,1.033545970916748
Neural-ECF[peaks],0.9,75,1.033545970916748
MIDAST[KS],0.9,0,3.1158809661865234
Neural-ECF[argmax],0.9,75,0.9992058277130127
Neural-ECF[peaks],0.9,75,0.9992058277130127
MIDAST[KS],0.9,0,3.1896419525146484
Neural-ECF[argmax],0.9,75,0.9777557849884033
Neural-ECF[peaks],0.9,75,0.9777557849884033
MIDAST[KS],0.9,0,3.2104618549346924
Neural-ECF[argmax],0.9,75,1.0217771530151367
Neural-ECF[peaks],0.9,75,1.0217771530151367
MIDAST[KS],0.9,0,3.212672710418701
Neural-ECF[argmax],0.9,75,0.9830226898193359
Neural-ECF[peaks],0.9,75,0.9830226898193359
MIDAST[KS],0.9,0,3.1733641624450684
Neural-ECF[argmax],0.9,75,1.0132389068603516
Neural-ECF[peaks],0.9,75,1.0132389068603516
MIDAST[KS],0.9,0,3.202786922454834
Neural-ECF[argmax],0.9,75,0.9842100143432617
Neural-ECF[peaks],0.9,75,0.9842100143432617
MIDAST[KS],0.9,0,3.132493019104004
Neural-ECF[argmax],0.9,75,1.0438079833984375
Neural-ECF[peaks],0.9,75,1.0438079833984375
MIDAST[KS],0.9,0,3.1695749759674072
Neural-ECF[argmax],0.9,75,1.0224080085754395
Neural-ECF[peaks],0.9,75,1.0224080085754395
MIDAST[KS],0.9,0,3.1968820095062256
Neural-ECF[argmax],0.9,75,1.0259239673614502
Neural-ECF[peaks],0.9,75,1.0259239673614502
MIDAST[KS],0.9,0,3.1604559421539307
Neural-ECF[argmax],0.9,75,1.064330816268921
Neural-ECF[peaks],0.9,75,1.064330816268921
MIDAST[KS],0.9,0,3.1639809608459473
Neural-ECF[argmax],0.9,75,1.0384278297424316
Neural-ECF[peaks],0.9,75,1.0384278297424316
MIDAST[KS],0.9,0,3.183501958847046
Neural-ECF[argmax],0.9,75,1.0163829326629639
Neural-ECF[peaks],0.9,75,1.0163829326629639
MIDAST[KS],0.9,0,3.17228102684021
Neural-ECF[argmax],0.9,75,0.9816980361938477
Neural-ECF[peaks],0.9,75,0.9816980361938477
MIDAST[KS],0.9,0,3.125746965408325
Neural-ECF[argmax],0.9,75,0.9774158000946045
Neural-ECF[peaks],0.9,75,0.9774158000946045
MIDAST[KS],0.9,0,3.1737332344055176
Neural-ECF[argmax],0.9,75,1.0401668548583984
Neural-ECF[peaks],0.9,75,1.0401668548583984
MIDAST[KS],0.9,0,3.194004774093628
Neural-ECF[argmax],0.9,75,1.0144996643066406
Neural-ECF[peaks],0.9,75,1.0144996643066406
MIDAST[KS],0.9,0,3.1829471588134766
Neural-ECF[argmax],0.9,75,1.041384220123291
Neural-ECF[peaks],0.9,75,1.041384220123291
MIDAST[KS],0.9,0,3.191277027130127
Neural-ECF[argmax],0.9,75,0.9849300384521484
Neural-ECF[peaks],0.9,75,0.9849300384521484
MIDAST[KS],0.9,0,3.1343111991882324
Neural-ECF[argmax],0.9,75,0.9990289211273193
Neural-ECF[peaks],0.9,75,0.9990289211273193
MIDAST[KS],0.9,0,3.1724321842193604
Neural-ECF[argmax],0.9,75,1.0126821994781494
Neural-ECF[peaks],0.9,75,1.0126821994781494
MIDAST[KS],0.9,0,3.2526888847351074
Neural-ECF[argmax],0.9,75,1.0063281059265137
Neural-ECF[peaks],0.9,75,1.0063281059265137
MIDAST[KS],0.9,0,3.130823850631714
Neural-ECF[argmax],0.9,75,0.9803040027618408
Neural-ECF[peaks],0.9,75,0.9803040027618408
MIDAST[KS],0.9,0,3.1417617797851562
Neural-ECF[argmax],0.9,75,1.0287940502166748
Neural-ECF[peaks],0.9,75,1.0287940502166748
MIDAST[KS],0.9,0,3.1359968185424805
Neural-ECF[argmax],0.9,75,1.000458002090454
